date,cases,deaths,daily cases,daily deaths
2020-01-21,1,0,0,0
2020-01-22,1,0,0,0
2020-01-23,1,0,1,0
2020-01-24,2,0,1,0
2020-01-25,3,0,2,0
2020-01-26,5,0,0,0
2020-01-27,5,0,0,0
2020-01-28,5,0,0,0
2020-01-29,5,0,1,0
2020-01-30,6,0,1,0
2020-01-31,7,0,1,0
2020-02-01,8,0,3,0
2020-02-02,11,0,0,0
2020-02-03,11,0,0,0
2020-02-04,11,0,1,0
2020-02-05,12,0,0,0
2020-02-06,12,0,0,0
2020-02-07,12,0,0,0
2020-02-08,12,0,0,0
2020-02-09,12,0,1,0
2020-02-10,13,0,0,0
2020-02-11,13,0,1,0
2020-02-12,14,0,1,0
2020-02-13,15,0,0,0
2020-02-14,15,0,0,0
2020-02-15,15,0,0,0
2020-02-16,15,0,10,0
2020-02-17,25,0,0,0
2020-02-18,25,0,0,0
2020-02-19,25,0,2,0
2020-02-20,27,0,3,0
2020-02-21,30,0,0,0
2020-02-22,30,0,0,0
2020-02-23,30,0,13,0
2020-02-24,43,0,2,0
2020-02-25,45,0,15,0
2020-02-26,60,0,0,0
2020-02-27,60,0,5,0
2020-02-28,65,0,5,1
2020-02-29,70,1,18,2
2020-03-01,88,3,16,3
2020-03-02,104,6,21,4
2020-03-03,125,10,36,2
2020-03-04,161,12,67,0
2020-03-05,228,12,83,3
2020-03-06,311,15,117,4
2020-03-07,428,19,119,3
2020-03-08,547,22,201,4
2020-03-09,748,26,270,5
2020-03-10,1018,31,245,6
2020-03-11,1263,37,405,6
2020-03-12,1668,43,556,7
2020-03-13,2224,50,674,10
2020-03-14,2898,60,702,8
2020-03-15,3600,68,907,23
2020-03-16,4507,91,1399,26
2020-03-17,5906,117,2444,45
2020-03-18,8350,162,4043,50
2020-03-19,12393,212,5619,65
2020-03-20,18012,277,6516,83
2020-03-21,24528,360,8545,98
2020-03-22,33073,458,10432,121
2020-03-23,43505,579,10433,206
2020-03-24,53938,785,14634,269
2020-03-25,68572,1054,16998,299
2020-03-26,85570,1353,17330,417
2020-03-27,102900,1770,21066,530
2020-03-28,123966,2300,18520,418
2020-03-29,142486,2718,21469,650
2020-03-30,163955,3368,24506,936
2020-03-31,188461,4304,26930,1021
2020-04-01,215391,5325,29717,1216
2020-04-02,245108,6541,32318,1391
2020-04-03,277426,7932,35099,1556
2020-04-04,312525,9488,25616,1368
2020-04-05,338141,10856,30916,1526
2020-04-06,369057,12382,30337,2234
2020-04-07,399394,14616,31820,2085
2020-04-08,431214,16701,34699,2120
2020-04-09,465913,18821,33473,2263
2020-04-10,499386,21084,31720,2084
2020-04-11,531106,23168,27143,1681
2020-04-12,558249,24849,25769,1764
2020-04-13,584018,26613,26691,2705
2020-04-14,610709,29318,30033,2752
2020-04-15,640742,32070,31613,2349
2020-04-16,672355,34419,31509,2289
2020-04-17,703864,36708,28398,1951
2020-04-18,732262,38659,25334,1520
2020-04-19,757596,40179,27395,1837
2020-04-20,784991,42016,25514,2672
2020-04-21,810505,44688,28831,2371
2020-04-22,839336,47059,33776,2169
2020-04-23,873112,49228,36741,2132
2020-04-24,909853,51360,34408,1967
2020-04-25,944261,53327,26735,1253
2020-04-26,970996,54580,23197,1442
2020-04-27,994193,56022,24651,2394
2020-04-28,1018844,58416,26555,2514
2020-04-29,1045399,60930,30357,2210
2020-04-30,1075756,63140,33970,1762
2020-05-01,1109726,64902,29474,1583
2020-05-02,1139200,66485,26140,1331
2020-05-03,1165340,67816,21962,1089
2020-05-04,1187302,68905,23709,2234
2020-05-05,1211011,71139,24506,2708
2020-05-06,1235517,73847,28478,1958
2020-05-07,1263995,75805,27648,1575
2020-05-08,1291643,77380,24868,1454
2020-05-09,1316511,78834,20317,932
2020-05-10,1336828,79766,17621,982
2020-05-11,1354449,80748,22300,1652
2020-05-12,1376749,82400,21145,1768
2020-05-13,1397894,84168,26962,1738
2020-05-14,1424856,85906,26237,1593
2020-05-15,1451093,87499,23659,1225
2020-05-16,1474752,88724,19014,844
2020-05-17,1493766,89568,21827,846
2020-05-18,1515593,90414,20977,1520
2020-05-19,1536570,91934,23070,1477
2020-05-20,1559640,93411,25733,1311
2020-05-21,1585373,94722,23799,1288
2020-05-22,1609172,96010,22268,1050
2020-05-23,1631440,97060,20031,620
2020-05-24,1651471,97680,19100,510
2020-05-25,1670571,98190,18896,747
2020-05-26,1689467,98937,18744,1485
2020-05-27,1708211,100422,22512,1200
2020-05-28,1730723,101622,24548,1190
2020-05-29,1755271,102812,23397,963
2020-05-30,1778668,103775,20634,604
2020-05-31,1799302,104379,21897,734
2020-06-01,1821199,105113,20791,1082
2020-06-02,1841990,106195,19987,989
2020-06-03,1861977,107184,21616,1008
2020-06-04,1883593,108192,28709,1112
2020-06-05,1912302,109304,22516,728
2020-06-06,1934818,110032,18616,390
2020-06-07,1953434,110422,18207,722
2020-06-08,1971641,111144,18805,1030
2020-06-09,1990446,112174,22852,929
2020-06-10,2013298,113103,23202,877
2020-06-11,2036500,113980,25493,779
2020-06-12,2061993,114759,25334,692
2020-06-13,2087327,115451,19130,317
2020-06-14,2106457,115768,20117,448
2020-06-15,2126574,116216,24885,769
2020-06-16,2151459,116985,25655,761
2020-06-17,2177114,117746,28059,727
2020-06-18,2205173,118473,30836,698
2020-06-19,2236009,119171,32025,546
2020-06-20,2268034,119717,26379,257
2020-06-21,2294413,119974,30466,360
2020-06-22,2324879,120334,35060,833
2020-06-23,2359939,121167,36989,767
2020-06-24,2396928,121934,41173,2466
2020-06-25,2438101,124400,45528,633
2020-06-26,2483629,125033,42299,511
2020-06-27,2525928,125544,39508,271
2020-06-28,2565436,125815,39496,347
2020-06-29,2604932,126162,48389,1300
2020-06-30,2653321,127462,49975,642
2020-07-01,2703296,128104,55559,723
2020-07-02,2758855,128827,57154,591
2020-07-03,2816009,129418,50006,261
2020-07-04,2866015,129679,44767,262
2020-07-05,2910782,129941,47316,391
2020-07-06,2958098,130332,54084,958
2020-07-07,3012182,131290,59455,948
2020-07-08,3071637,132238,59889,841
2020-07-09,3131526,133079,68227,828
2020-07-10,3199753,133907,60721,675
2020-07-11,3260474,134582,57805,395
2020-07-12,3318279,134977,61567,425
2020-07-13,3379846,135402,65602,954
2020-07-14,3445448,136356,68342,971
2020-07-15,3513790,137327,75687,958
2020-07-16,3589477,138285,70923,901
2020-07-17,3660400,139186,62451,775
2020-07-18,3722851,139961,62275,412
2020-07-19,3785126,140373,59888,531
2020-07-20,3845014,140904,65277,1127
2020-07-21,3910291,142031,69739,1136
2020-07-22,3980030,143167,70006,1116
2020-07-23,4050036,144283,73525,1146
2020-07-24,4123561,145429,66776,884
2020-07-25,4190337,146313,54217,440
2020-07-26,4244554,146753,59181,1696
2020-07-27,4303735,148449,63116,1327
2020-07-28,4366851,149776,66782,1396
2020-07-29,4433633,151172,68948,1261
2020-07-30,4502581,152433,69088,1429
2020-07-31,4571669,153862,56828,1055
2020-08-01,4628497,154917,50794,420
2020-08-02,4679291,155337,47484,608
2020-08-03,4726775,155945,53549,1356
2020-08-04,4780324,157301,53723,1253
2020-08-05,4834047,158554,57514,1071
2020-08-06,4891561,159625,61157,1356
2020-08-07,4952718,160981,55240,966
2020-08-08,5007958,161947,48480,539
2020-08-09,5056438,162486,47173,537
2020-08-10,5103611,163023,53357,1451
2020-08-11,5156968,164474,54278,1478
2020-08-12,5211246,165952,54061,1213
2020-08-13,5265307,167165,59477,1176
2020-08-14,5324784,168341,50743,1059
2020-08-15,5375527,169400,42137,514
2020-08-16,5417664,169914,37523,535
2020-08-17,5455187,170449,43233,1349
2020-08-18,5498420,171798,43013,1295
2020-08-19,5541433,173093,46029,1043
2020-08-20,5587462,174136,49029,1161
2020-08-21,5636491,175297,45026,950
2020-08-22,5681517,176247,32333,446
2020-08-23,5713850,176693,40404,504
2020-08-24,5754254,177197,39183,1213
2020-08-25,5793437,178410,45319,1193
2020-08-26,5838756,179603,45610,1126
2020-08-27,5884366,180729,46564,1010
2020-08-28,5930930,181739,44610,871
2020-08-29,5975540,182610,33430,374
2020-08-30,6008970,182984,36485,488
2020-08-31,6045455,183472,44049,1091
2020-09-01,6089504,184563,32444,1076
2020-09-02,6121948,185639,46394,1078
2020-09-03,6168342,186717,52104,980
2020-09-04,6220446,187697,42254,712
2020-09-05,6262700,188409,29999,411
2020-09-06,6292699,188820,25166,263
2020-09-07,6317865,189083,28941,458
2020-09-08,6346806,189541,33332,1175
2020-09-09,6380138,190716,38060,915
2020-09-10,6418198,191631,47568,1227
2020-09-11,6465766,192858,39104,701
2020-09-12,6504870,193559,33343,399
2020-09-13,6538213,193958,36887,450
2020-09-14,6575100,194408,39217,1281
2020-09-15,6614317,195689,39268,997
2020-09-16,6653585,196686,45310,849
2020-09-17,6698895,197535,48887,949
2020-09-18,6747782,198484,41811,670
2020-09-19,6789593,199154,36356,213
2020-09-20,6825949,199367,54950,430
2020-09-21,6880899,199797,37391,941
2020-09-22,6918290,200738,41551,1090
2020-09-23,6959841,201828,45202,885
2020-09-24,7005043,202713,54581,853
2020-09-25,7059624,203566,42697,769
2020-09-26,7102321,204335,37298,267
2020-09-27,7139619,204602,37360,350
2020-09-28,7176979,204952,43697,926
2020-09-29,7220676,205878,42058,974
2020-09-30,7262734,206852,46418,847
2020-10-01,7309152,207699,53580,865
2020-10-02,7362732,208564,47779,709
2020-10-03,7410511,209273,35063,333
2020-10-04,7445574,209606,62412,429
2020-10-05,7507986,210035,42862,721
2020-10-06,7550848,210756,53017,996
2020-10-07,7603865,211752,56383,928
2020-10-08,7660248,212680,58962,915
2020-10-09,7719210,213595,51648,592
2020-10-10,7770858,214187,44783,419
2020-10-11,7815641,214606,48016,351
2020-10-12,7863657,214957,54394,826
2020-10-13,7918051,215783,59853,1009
2020-10-14,7977904,216792,65353,793
2020-10-15,8043257,217585,70463,891
2020-10-16,8113720,218476,52761,678
2020-10-17,8166481,219154,47882,387
2020-10-18,8214363,219541,65440,517
2020-10-19,8279803,220058,60594,929
2020-10-20,8340397,220987,64237,1208
2020-10-21,8404634,222195,75128,828
2020-10-22,8479762,223023,85297,930
2020-10-23,8565059,223953,78581,872
2020-10-24,8643640,224825,59715,339
2020-10-25,8703355,225164,74631,537
2020-10-26,8777986,225701,74387,983
2020-10-27,8852373,226684,81885,1018
2020-10-28,8934258,227702,90657,1004
2020-10-29,9024915,228706,99868,968
2020-10-30,9124783,229674,84210,838
2020-10-31,9208993,230512,74195,428
2020-11-01,9283188,230940,94013,540
2020-11-02,9377201,231480,92416,1130
2020-11-03,9469617,232610,108080,1616
